"October 14, 2014 at 10:19PM","October 15, 2014 at 06:15AM",7h 54m,28479,4h 2m,14547,49.1%,3h 52m,13932,47.02%,19m,1149,3.88%
"October 15, 2014 at 11:08PM","October 16, 2014 at 05:55AM",6h 46m,24378,2h 32m,9137,31.83%,4h 14m,15241,53.1%,1h 12m,4324,15.07%
"October 16, 2014 at 11:15PM","October 17, 2014 at 06:30AM",7h 5m,25500,3h 50m,13800,48.94%,3h 15m,11700,41.49%,45m,2700,9.57%
"October 18, 2014 at 12:09AM","October 18, 2014 at 08:30AM",8h 21m,30088,5h 48m,20911,59.95%,2h 32m,9177,26.31%,1h 19m,4794,13.74%
"October 18, 2014 at 10:05PM","October 18, 2014 at 11:30PM",1h 25m,5100,1h 0m,3600,63.16%,25m,1500,26.32%,10m,600,10.53%
"October 19, 2014 at 01:29AM","October 19, 2014 at 08:05AM",6h 34m,23640,4h 11m,15060,58.81%,2h 23m,8580,33.5%,32m,1969,7.69%
"October 19, 2014 at 11:05PM","October 20, 2014 at 07:45AM",7h 58m,28691,4h 26m,15969,48.77%,3h 19m,11947,36.48%,1h 7m,4055,12.38%
"October 20, 2014 at 10:58PM","October 21, 2014 at 06:00AM",7h 3m,25414,3h 15m,11700,40.48%,3h 48m,13714,47.45%,58m,3486,12.06%
"October 21, 2014 at 10:31PM","October 22, 2014 at 06:10AM",6h 35m,23759,3h 35m,12959,45.06%,3h 0m,10800,37.55%,1h 23m,5003,17.39%
"October 22, 2014 at 10:15PM","October 22, 2014 at 10:35PM",24m,1491,12m,748,34.55%,0,0,0%,11m,674,31.13%
"October 22, 2014 at 11:30PM","October 23, 2014 at 06:30AM",6h 53m,24815,2h 22m,8550,31.03%,4h 22m,15731,57.09%,45m,2738,9.94%
"October 23, 2014 at 10:50PM","October 24, 2014 at 06:20AM",7h 35m,27326,3h 7m,11222,39.98%,4h 20m,15606,55.59%,12m,745,2.65%
"October 24, 2014 at 10:18PM","October 25, 2014 at 08:05AM",9h 47m,35276,5h 38m,20338,56.14%,4h 8m,14938,41.23%,15m,951,2.63%
"October 26, 2014 at 03:07AM","October 26, 2014 at 09:00AM",5h 46m,20767,2h 48m,10082,46.16%,2h 58m,10685,48.92%,17m,1073,4.91%
"October 26, 2014 at 12:25AM","October 26, 2014 at 02:00AM",1h 35m,5700,50m,3000,43.48%,45m,2700,39.13%,20m,1200,17.39%
"October 26, 2014 at 11:39PM","October 27, 2014 at 06:00AM",6h 28m,23334,2h 37m,9430,38.75%,3h 44m,13441,55.23%,16m,1001,4.11%
"October 28, 2014 at 01:19AM","October 28, 2014 at 06:25AM",5h 5m,18345,2h 32m,9144,46.98%,2h 28m,8880,45.63%,18m,1118,5.74%
